"tenured","profnumber","minority","age","age2","beautyf2upper","beautyflowerdiv","beautyfupperdiv","beautym2upper","beautymlowerdiv","beautymupperdiv","btystdave","btystdf2u","btystdfl","btystdfu","btystdm2u","btystdml","btystdmu","class1","class2","class3","class4","class5","class6","class7","class8","class9","class10","class11","class12","class13","class14","class15","class16","class17","class18","class19","class20","class21","class22","class23","class24","class25","class26","class27","class28","class29","class30","courseevaluation","didevaluation","female","formal","fulldept","lower","multipleclass","nonenglish","onecredit","percentevaluating","profevaluation","students","tenuretrack","blkandwhite","btystdvariance"
1,14,0,49,2401,5,3,3,5,1,7,-0.347045332193375,-0.187824934720993,-0.605014860630035,-1.06128001213074,0.0771755427122116,-1.48760724067688,1.1822794675827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40000009536743,30,0,0,1,0,0,1,0,83.3333358764648,3.5,36,1,0,4.4217095375061
0,15,0,37,1369,7,6,7,4,5,4,0.461938768625259,0.766528785228729,0.989510178565979,0.875813901424408,-0.527364194393158,0.862562119960785,-0.195418149232864,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90000009536743,23,1,0,1,0,1,0,0,82.1428604125977,2.90000009536743,28,1,0,2.11373686790466
1,16,0,45,2025,3,2,4,7,5,4,-0.150384902954102,-1.14217865467072,-1.13652324676514,-0.57700651884079,1.28625500202179,0.862562119960785,-0.195418149232864,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,23,0,0,1,0,1,0,0,69.6969680786133,4.59999990463257,33,1,0,5.23015356063843
0,17,0,56,3136,1,3,4,3,2,2,-1.07073426246643,-2.09653234481812,-0.605014860630035,-0.57700651884079,-1.13190388679504,-0.900064945220947,-1.11388325691223,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,1,0,1,0,1,0,0,65.8536605834961,4.40000009536743,41,0,0,1.54765486717224
0,18,0,48,2304,6,3,5,4,4,4,-0.142693087458611,0.289351940155029,-0.605014860630035,-0.0927330404520035,-0.527364194393158,0.275019764900208,-0.195418149232864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79999995231628,100,0,0,1,1,0,0,0,74.0740737915039,4,135,0,0,0.72813618183136
1,19,0,46,2116,5,4,4,5,2,6,-0.156363412737846,-0.187824934720993,-0.0735065415501595,-0.57700651884079,0.0771755427122116,-0.900064945220947,0.723046958446503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30000019073486,25,1,0,1,0,0,0,0,80.6451644897461,4.90000009536743,31,1,1,1.56579077243805
0,20,0,57,3249,4,5,4,6,5,2,-0.0589354038238525,-0.665001809597015,0.458001792430878,-0.57700651884079,0.681715250015259,0.862562119960785,-1.11388325691223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40000009536743,17,1,0,0,0,0,0,0,60.7142868041992,3.5,28,0,0,3.41357421875
0,21,0,52,2704,4,6,6,7,2,4,0.151136785745621,-0.665001809597015,0.989510178565979,0.39154040813446,1.28625500202179,-0.900064945220947,-0.195418149232864,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40000009536743,19,1,0,1,0,1,0,0,86.363639831543,3.70000004768372,22,0,0,3.94036483764648
0,22,1,29,841,4,3,3,2,2,3,-0.937075972557068,-0.665001809597015,-0.605014860630035,-1.06128001213074,-1.73644363880157,-0.900064945220947,-0.654650688171387,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29999995231628,19,1,0,1,0,1,1,0,73.0769195556641,3.40000009536743,26,1,0,0.919838070869446
1,23,0,62,3844,4,4,3,4,1,2,-0.821440517902374,-0.665001809597015,-0.0735065415501595,-1.06128001213074,-0.527364194393158,-1.48760724067688,-1.11388325691223,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30000019073486,30,0,0,1,0,1,0,0,76.9230804443359,4.30000019073486,39,1,0,1.25718307495117
1,24,0,64,4096,5,5,4,5,3,3,-0.199471235275269,-0.187824934720993,0.458001792430878,-0.57700651884079,0.0771755427122116,-0.31252259016037,-0.654650688171387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40000009536743,15,0,0,1,0,0,0,0,62.5,4.5,24,1,0,0.871441662311554
0,25,0,34,1156,8,8,9,8,6,8,1.68716740608215,1.24370563030243,2.05252695083618,1.84436082839966,1.89079475402832,1.45010447502136,1.64151203632355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59999990463257,20,1,0,1,0,0,0,0,76.9230804443359,4.80000019073486,26,1,0,0.454603046178818
1,26,0,58,3364,5,4,4,4,2,4,-0.410197556018829,-0.187824934720993,-0.0735065415501595,-0.57700651884079,-0.527364194393158,-0.900064945220947,-0.195418149232864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.19999980926514,84,0,0,1,0,1,0,0,52.8301887512207,4.40000009536743,159,1,0,0.49046391248703
1,27,1,52,2704,7,4,5,4,5,4,0.123344831168652,0.766528785228729,-0.0735065415501595,-0.0927330404520035,-0.527364194393158,0.862562119960785,-0.195418149232864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,1,1,0,1,1,0,81.25,4.40000009536743,16,1,0,1.5706000328064
1,28,0,73,5329,6,1,3,5,2,1,-0.805994153022766,0.289351940155029,-1.66803157329559,-1.06128001213074,0.0771755427122116,-0.900064945220947,-1.57311582565308,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29999995231628,12,0,1,1,0,1,0,0,70.5882339477539,3.59999990463257,17,1,0,3.38537621498108
1,29,0,70,4900,2,5,3,2,3,3,-0.821041762828827,-1.61935555934906,0.458001792430878,-1.06128001213074,-1.73644363880157,-0.31252259016037,-0.654650688171387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.40000009536743,47,0,1,1,0,1,0,0,35.0746269226074,4.59999990463257,134,1,0,3.45520997047424
0,30,0,41,1681,7,3,6,7,4,4,0.319818496704102,0.766528785228729,-0.605014860630035,0.39154040813446,1.28625500202179,0.275019764900208,-0.195418149232864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29999995231628,10,1,0,1,0,1,0,0,83.3333358764648,2.29999995231628,12,1,0,2.2614860534668
0,31,0,63,3969,6,5,4,5,4,2,-0.098556786775589,0.289351940155029,0.458001792430878,-0.57700651884079,0.0771755427122116,0.275019764900208,-1.11388325691223,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,28,0,0,1,0,1,0,0,65.1162796020508,4.30000019073486,43,0,0,1.89047396183014
1,32,0,47,2209,3,1,4,3,2,3,-1.01230609416962,-1.14217865467072,-1.66803157329559,-0.57700651884079,-1.13190388679504,-0.900064945220947,-0.654650688171387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69999980926514,10,0,0,1,0,0,0,0,66.6666641235352,4.90000009536743,15,1,0,0.791147589683533
1,33,0,39,1521,6,5,6,5,6,5,0.488331437110901,0.289351940155029,0.458001792430878,0.39154040813446,0.0771755427122116,1.45010447502136,0.263814389705658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90000009536743,86,0,0,1,1,0,0,0,34.9593505859375,4.19999980926514,246,1,0,1.19434571266174
0,34,1,47,2209,6,2,6,4,3,5,-0.171950548887253,0.289351940155029,-1.13652324676514,0.39154040813446,-0.527364194393158,-0.31252259016037,0.263814389705658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,21,1,0,1,1,1,0,0,100,4.19999980926514,21,1,0,1.79669296741486
1,35,0,54,2916,4,1,2,4,1,2,-1.16790688037872,-0.665001809597015,-1.66803157329559,-1.54555344581604,-0.527364194393158,-1.48760724067688,-1.11388325691223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30000019073486,15,0,1,1,0,1,0,0,100,4.30000019073486,15,1,0,1.1610769033432
1,36,1,44,1936,8,6,8,5,5,7,0.952553391456604,1.24370563030243,0.989510178565979,1.36008739471436,0.0771755427122116,0.862562119960785,1.1822794675827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79999995231628,30,1,0,1,0,0,0,0,54.5454559326172,3.90000009536743,55,1,0,1.07937824726105
1,37,1,47,2209,2,2,2,4,2,2,-1.14045739173889,-1.61935555934906,-1.13652324676514,-1.54555344581604,-0.527364194393158,-0.900064945220947,-1.11388325691223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79999995231628,20,0,0,1,0,1,0,0,74.0740737915039,3.90000009536743,27,1,0,0.827839732170105
1,38,0,62,3844,5,3,2,3,3,2,-0.816117167472839,-0.187824934720993,-0.605014860630035,-1.54555344581604,-1.13190388679504,-0.31252259016037,-1.11388325691223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,1,1,0,0,0,0,92.3076934814453,4.09999990463257,13,1,0,1.4133859872818
1,39,0,60,3600,6,4,4,4,2,2,-0.483745574951172,0.289351940155029,-0.0735065415501595,-0.57700651884079,-0.527364194393158,-0.900064945220947,-1.11388325691223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59999990463257,25,0,0,1,0,0,0,0,73.529411315918,4.80000019073486,34,1,0,1.34697139263153
0,40,0,37,1369,7,4,8,8,5,5,0.845046818256378,0.766528785228729,-0.0735065415501595,1.36008739471436,1.89079475402832,0.862562119960785,0.263814389705658,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,15,0,0,1,0,1,0,0,88.2352905273438,3.29999995231628,17,1,0,2.54689884185791
0,41,0,42,1764,3,3,5,4,3,6,-0.326127737760544,-1.14217865467072,-0.605014860630035,-0.0927330404520035,-0.527364194393158,-0.31252259016037,0.723046958446503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69999980926514,13,0,0,1,0,0,0,0,92.8571395874023,4.40000009536743,14,1,0,1.93963897228241
1,42,0,35,1225,2,4,7,6,6,4,0.186558902263641,-1.61935555934906,-0.0735065415501595,0.875813901424408,0.681715250015259,1.45010447502136,-0.195418149232864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.19999980926514,42,0,0,1,0,1,0,0,82.3529434204102,4.30000019073486,51,1,0,5.79166698455811
0,43,0,39,1521,8,8,8,9,7,9,1.88167428970337,1.24370563030243,2.05252695083618,1.36008739471436,2.49533438682556,2.03764677047729,2.1007444858551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.40000009536743,22,1,0,1,1,1,0,0,91.6666641235352,3.29999995231628,24,0,0,1.15714538097382
1,44,0,49,2401,7,6,6,5,6,9,0.962600648403168,0.766528785228729,0.989510178565979,0.39154040813446,0.0771755427122116,1.45010447502136,2.1007444858551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.90000009536743,28,0,1,1,0,1,0,0,62.2222213745117,4,45,1,0,2.68228697776794
1,45,0,61,3721,4,5,5,6,4,5,0.153469383716583,-0.665001809597015,0.458001792430878,-0.0927330404520035,0.681715250015259,0.275019764900208,0.263814389705658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.5,22,0,1,1,1,1,0,0,81.4814834594727,4.5,27,1,0,1.12924492359161
0,46,0,33,1089,7,7,8,7,6,7,1.26104557514191,0.766528785228729,1.52101850509644,1.36008739471436,1.28625500202179,1.45010447502136,1.1822794675827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.69999980926514,30,0,1,1,0,1,0,0,96.7741928100586,4.90000009536743,31,1,0,0.364524930715561
1,47,0,58,3364,7,3,6,6,2,4,0.0232144147157669,0.766528785228729,-0.605014860630035,0.39154040813446,0.681715250015259,-0.900064945220947,-0.195418149232864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.5,26,1,1,1,0,1,0,0,76.470588684082,3.70000004768372,34,1,1,2.4167206287384
1,48,0,56,3136,4,2,4,6,4,3,-0.346074551343918,-0.665001809597015,-1.13652324676514,-0.57700651884079,0.681715250015259,0.275019764900208,-0.654650688171387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.70000004768372,12,1,1,1,0,1,0,0,63.1578941345215,3.90000009536743,19,1,0,2.31718254089355
0,49,0,50,2500,5,2,3,4,2,3,-0.744617998600006,-0.187824934720993,-1.13652324676514,-1.06128001213074,-0.527364194393158,-0.900064945220947,-0.654650688171387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,22,1,0,1,1,1,0,0,81.4814834594727,4.40000009536743,27,0,0,0.643340170383453
1,50,0,52,2704,5,4,3,3,2,2,-0.744743943214417,-0.187824934720993,-0.0735065415501595,-1.06128001213074,-1.13190388679504,-0.900064945220947,-1.11388325691223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09999990463257,57,0,0,1,0,0,0,0,85.0746231079102,4.40000009536743,67,1,0,1.17119479179382
0,51,0,33,1089,9,3,7,7,4,5,0.636128425598145,1.72088253498077,-0.605014860630035,0.875813901424408,1.28625500202179,0.275019764900208,0.263814389705658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40000009536743,10,1,0,1,0,0,0,0,66.6666641235352,4.5,15,1,1,3.46625900268555
1,52,0,57,3249,6,5,6,5,5,7,0.543485224246979,0.289351940155029,0.458001792430878,0.39154040813446,0.0771755427122116,0.862562119960785,1.1822794675827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19999980926514,69,0,0,1,0,0,0,0,89.6103897094727,4.30000019073486,77,1,1,0.822291254997253
1,53,0,38,1444,9,6,8,7,4,5,0.982594847679138,1.72088253498077,0.989510178565979,1.36008739471436,1.28625500202179,0.275019764900208,0.263814389705658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,46,1,1,1,0,1,0,0,70.7692337036133,4.80000019073486,65,1,1,1.79713451862335
0,54,0,34,1156,4,2,1,1,1,1,-1.53884303569794,-0.665001809597015,-1.13652324676514,-2.02982687950134,-2.34098339080811,-1.48760724067688,-1.57311582565308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79999995231628,54,1,0,0,1,0,0,0,59.3406600952148,4.09999990463257,91,1,0,1.81375372409821
0,55,0,34,1156,7,6,7,6,6,8,1.06753075122833,0.766528785228729,0.989510178565979,0.875813901424408,0.681715250015259,1.45010447502136,1.64151203632355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09999990463257,24,0,0,0,0,0,0,0,66.6666641235352,3.5,36,1,0,0.758115530014038
0,56,0,32,1024,3,3,7,3,3,3,-0.414363890886307,-1.14217865467072,-0.605014860630035,1.36008739471436,-1.13190388679504,-0.31252259016037,-0.654650688171387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70000004768372,85,0,1,0,1,0,0,0,34.2741928100586,4,248,1,1,4.2977123260498
1,57,0,42,1764,8,5,5,5,6,8,0.796294391155243,1.24370563030243,0.458001792430878,-0.0927330404520035,0.0771755427122116,1.45010447502136,1.64151203632355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90000009536743,44,1,0,0,1,0,0,0,70.9677429199219,3.79999995231628,62,1,0,2.76398086547852
1,58,0,43,1849,5,2,3,4,3,3,-0.646694302558899,-0.187824934720993,-1.13652324676514,-1.06128001213074,-0.527364194393158,-0.31252259016037,-0.654650688171387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,1,0,0,1,0,0,0,68.6274490356445,4.09999990463257,51,1,0,0.748348534107208
0,59,0,35,1225,3,4,3,5,4,3,-0.429903417825699,-1.14217865467072,-0.0735065415501595,-1.06128001213074,0.0771755427122116,0.275019764900208,-0.654650688171387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.29999995231628,11,0,0,1,0,1,1,0,57.8947372436523,3.70000004768372,19,1,1,1.83754825592041
1,60,0,62,3844,5,1,5,5,1,4,-0.592406570911407,-0.187824934720993,-1.66803157329559,-0.0927330404520035,0.0771755427122116,-1.48760724067688,-0.195418149232864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09999990463257,22,1,0,1,0,0,0,0,81.4814834594727,3.20000004768372,27,1,0,2.97765326499939
1,61,0,42,1764,6,3,1,4,1,1,-0.988929510116577,0.289351940155029,-0.605014860630035,-2.02982687950134,-0.527364194393158,-1.48760724067688,-1.57311582565308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,0,0,1,0,0,0,0,52.3255805969238,4.19999980926514,86,1,0,3.6678569316864
1,62,0,39,1521,6,5,8,6,4,5,0.554665088653564,0.289351940155029,0.458001792430878,1.36008739471436,0.681715250015259,0.275019764900208,0.263814389705658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30000019073486,22,0,0,1,0,0,0,0,75.8620681762695,4.5,29,1,0,0.907377302646637
1,63,0,52,2704,7,5,7,6,3,8,0.685174882411957,0.766528785228729,0.458001792430878,0.875813901424408,0.681715250015259,-0.31252259016037,1.64151203632355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70000004768372,64,1,1,1,0,0,0,0,72.7272720336914,3.79999995231628,88,1,1,2.00456237792969
1,64,0,52,2704,9,6,7,6,5,6,0.975588500499725,1.72088253498077,0.989510178565979,0.875813901424408,0.681715250015259,0.862562119960785,0.723046958446503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40000009536743,31,1,0,1,0,0,0,0,70.4545440673828,3.70000004768372,44,1,1,0.728525638580322
0,65,0,52,2704,4,2,3,2,2,1,-1.17873823642731,-0.665001809597015,-1.13652324676514,-1.06128001213074,-1.73644363880157,-0.900064945220947,-1.57311582565308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30000019073486,59,1,0,1,0,0,0,0,78.6666641235352,4.5,75,0,0,0.823731482028961
1,66,0,64,4096,3,2,3,3,2,1,-1.15751111507416,-1.14217865467072,-1.13652324676514,-1.06128001213074,-1.13190388679504,-0.900064945220947,-1.57311582565308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70000004768372,9,0,0,1,0,0,0,0,81.8181838989258,3.79999995231628,11,1,0,0.249597534537315
1,67,0,50,2500,9,6,7,7,6,8,1.32734632492065,1.72088253498077,0.989510178565979,0.875813901424408,1.28625500202179,1.45010447502136,1.64151203632355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19999980926514,15,0,0,1,0,0,0,0,93.75,4.5,16,1,0,0.588343679904938
1,68,0,60,3600,2,1,1,2,2,2,-1.51126766204834,-1.61935555934906,-1.66803157329559,-2.02982687950134,-1.73644363880157,-0.900064945220947,-1.11388325691223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20000004768372,23,0,0,1,0,0,0,0,71.875,2.40000009536743,32,1,0,0.88734894990921
1,69,0,51,2601,7,4,5,6,4,5,0.303473114967346,0.766528785228729,-0.0735065415501595,-0.0927330404520035,0.681715250015259,0.275019764900208,0.263814389705658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,1,1,0,0,0,0,0,70.1492538452148,3,67,1,0,0.658963024616241
