Session,Month,Range,Round,ID_self,ID_partner,Signal,Bid
4,D,5,1,6,1,0.23,0.5
4,D,5,1,7,2,3.67,2.25
4,D,5,1,8,4,1.84,2.01
4,D,5,1,9,5,2.12,1
4,D,5,1,10,3,0.37,1.5
5,J,10,1,1,7,2.98,2.97
5,J,10,1,2,8,0.45,1.5
5,J,10,1,3,4,9.92,5
5,J,10,1,4,3,6.76,5
5,J,10,1,5,10,0.63,0.75
5,J,10,1,6,9,1.31,3
5,J,10,1,7,1,5.73,5.5
5,J,10,1,8,2,7.42,4.02
5,J,10,1,9,6,3.78,4
5,J,10,1,10,5,6.33,5
5,J,5,1,1,7,3.06,2.5
5,J,5,1,2,9,4.63,2.53
5,J,5,1,3,10,3.52,3.53
5,J,5,1,4,8,4.84,2.5
5,J,5,1,5,6,4.53,2.71
5,J,5,1,6,5,1.96,2.5
5,J,5,1,7,1,1.56,2.65
5,J,5,1,8,4,0.87,1.57
5,J,5,1,9,2,3.2,1.99
5,J,5,1,10,3,4.91,2.52
6,J,10,1,1,3,0.33,0.8
6,J,10,1,2,10,5.47,5.01
6,J,10,1,3,1,4.09,4
6,J,10,1,4,7,7.12,4
6,J,10,1,5,9,1.27,3
6,J,10,1,6,8,6.28,4
6,J,10,1,7,4,1.01,2.2
6,J,10,1,8,6,6.04,4.88
6,J,10,1,9,5,7.14,3.68
6,J,10,1,10,2,5.74,5
6,J,5,1,1,3,0.89,0.45
6,J,5,1,2,10,3.55,2.99
6,J,5,1,3,1,4.53,3.55
6,J,5,1,4,8,3.29,3
6,J,5,1,5,6,3.13,2.01
6,J,5,1,6,5,2.79,3
6,J,5,1,7,9,2.78,1.05
6,J,5,1,8,4,2.28,2.01
6,J,5,1,9,7,4.8,2.41
6,J,5,1,10,2,0.56,1.5
7,J,10,1,1,7,5.24,3
7,J,10,1,2,8,8.53,4.5
7,J,10,1,3,10,5.48,5.02
7,J,10,1,4,9,7.94,8
7,J,10,1,5,6,3.64,0.5
7,J,10,1,6,5,3.25,2
7,J,10,1,7,1,1.62,3.5
7,J,10,1,8,2,2.62,4
7,J,10,1,9,4,2.07,2
7,J,10,1,10,3,9.05,4.5
7,J,5,1,1,10,5.48,5.02
7,J,5,1,2,7,5.24,3
7,J,5,1,3,8,8.53,4.5
7,J,5,1,4,9,7.94,8
7,J,5,1,5,6,3.64,0.5
7,J,5,1,6,5,3.25,2
7,J,5,1,7,1,1.62,3.5
7,J,5,1,8,2,2.62,4
7,J,5,1,9,4,2.07,2
7,J,5,1,10,3,9.05,4.5
8,J,10,1,1,2,0.54,2
8,J,10,1,2,1,5.22,5
8,J,10,1,3,8,9.37,5
8,J,10,1,4,10,7.69,4
8,J,10,1,5,9,8.2,8
8,J,10,1,6,7,5.92,4.8
8,J,10,1,7,6,5.95,6.5
8,J,10,1,8,3,8.45,5
8,J,10,1,9,5,7.23,7.23
8,J,10,1,10,4,2.9,2
8,J,5,1,1,6,0.65,2
8,J,5,1,2,5,1.12,0.52
8,J,5,1,3,8,0.51,2
8,J,5,1,4,10,4.05,1.13
8,J,5,1,5,2,0.84,2.1
8,J,5,1,6,1,4.32,2
8,J,5,1,7,9,2.11,2
8,J,5,1,8,3,2.93,1.78
8,J,5,1,9,7,4.26,2.5
8,J,5,1,10,4,4.92,2.9
