year,route_id,distance,passengers_daily,airfare,market_share
2000,24,328,1454,68,0.8253999948501587
1997,25,1113,189,144,0.31929999589920044
1998,25,1113,170,151,0.2921999990940094
1999,25,1113,187,153,0.30570000410079956
2000,25,1113,208,156,0.3158999979496002
1997,26,494,209,112,0.6530999541282654
1998,26,494,193,120,0.7085999846458435
1999,26,494,176,124,0.5034000277519226
2000,26,494,167,124,0.5098000168800354
1997,27,610,183,137,0.7373000383377075
1998,27,610,167,150,0.75
1999,27,610,177,144,0.6060000061988831
2000,27,610,182,158,0.7533999681472778
1997,28,628,368,109,0.844499945640564
1998,28,628,374,113,0.7524999976158142
1999,28,628,369,124,0.8113999962806702
2000,28,628,370,133,0.8389999866485596
1997,29,897,456,133,0.6876999735832214
1998,29,897,315,133,0.42320001125335693
1999,29,897,212,143,0.34549999237060547
2000,29,897,202,146,0.3449999988079071
1997,30,871,224,136,0.5468000173568726
1998,30,871,199,149,0.5647000074386597
1999,30,871,206,151,0.5769000053405762
2000,30,871,205,155,0.6162999868392944
1997,31,1181,252,149,0.2963999807834625
1998,31,1181,261,146,0.3508000075817108
1999,31,1181,284,150,0.4838999807834625
2000,31,1181,288,156,0.4916999936103821
1997,32,935,150,132,0.6215999722480774
1998,32,935,164,149,0.6753000020980835
1999,32,935,158,150,0.5911999940872192
2000,32,935,165,156,0.5687000155448914
1997,33,1648,411,183,0.36820000410079956
1998,33,1648,395,173,0.35830003023147583
1999,33,1648,390,196,0.29319998621940613
2000,33,1648,337,226,0.4041000008583069
1997,34,655,157,274,0.8677999973297119
1998,34,655,156,245,0.890999972820282
1999,34,655,131,270,0.8455999493598938
2000,34,655,138,295,0.8348999619483948
1997,35,907,346,111,0.5252999663352966
1998,35,907,222,115,0.6241999864578247
1999,35,907,407,114,0.4852999746799469
2000,35,907,490,118,0.5708000063896179
1997,36,412,151,109,0.8989999890327454
1998,36,412,141,119,0.8878999948501587
1999,36,412,148,118,0.887499988079071
2000,36,412,147,122,0.8834999799728394
1997,37,324,816,67,0.7300000190734863
1998,37,324,785,70,0.7176000475883484
1999,37,324,776,70,0.773099958896637
2000,37,324,729,72,0.7714999914169312
1997,38,535,242,110,0.8876999616622925
1998,38,535,244,117,0.6650000214576721
1999,38,535,256,115,0.6664000153541565
2000,38,535,272,121,0.5917999744415283
1997,39,759,157,98,0.9729000329971313
1998,39,759,159,117,0.9670999646186829
1999,39,759,169,117,0.9807000160217285
2000,39,759,161,124,0.9560999870300293
1997,40,125,102,123,0.9107000231742859
1998,40,125,101,127,0.905500054359436
1999,40,125,101,130,0.9988999962806702
2000,40,125,87,158,0.9962000250816345
1997,41,812,318,207,0.7506999969482422
1998,41,812,349,207,0.7480999827384949
1999,41,812,375,224,0.7373999953269958
2000,41,812,415,248,0.6897000074386597
1997,42,576,1065,167,0.6134999990463257
1998,42,576,837,189,0.9010999798774719
1999,42,576,1187,132,0.7121999859809875
2000,42,576,1268,173,0.6161999702453613
1997,43,449,155,173,0.9007999897003174
1998,43,449,178,152,0.9058000445365906
1999,43,449,183,143,0.9330999851226807
2000,43,449,156,185,0.9210000038146973
1997,44,946,1622,237,0.7173000574111938
1998,44,946,1981,163,0.7888000011444092
1999,44,946,2421,134,0.7075999975204468
2000,44,946,2188,177,0.7487000226974487
1997,45,712,252,185,0.8294999599456787
1998,45,712,410,119,0.5845000147819519
1999,45,712,561,100,0.5433000326156616
2000,45,712,547,115,0.5087000131607056
1997,46,259,241,178,0.9526000022888184
1998,46,259,250,178,0.9591000080108643
1999,46,259,232,205,0.965399980545044
2000,46,259,206,218,0.9613999724388123
1997,47,227,783,123,0.552299976348877
1998,47,227,633,183,0.6852999925613403
1999,47,227,554,211,0.7023999691009521
2000,47,227,513,250,0.6904000043869019
1997,48,605,3369,125,0.4566999673843384
1998,48,605,3826,123,0.46080002188682556
1999,48,605,3599,133,0.49150002002716064
2000,48,605,3415,173,0.459199994802475
1997,49,373,400,269,0.9551999568939209
1998,49,373,454,229,0.9676999449729919
1999,49,373,410,252,0.9594999551773071
2000,49,373,508,216,0.9567999839782715
1997,50,554,857,121,0.5072000026702881
1998,50,554,714,153,0.5195000171661377
1999,50,554,683,184,0.4863000214099884
2000,50,554,616,197,0.5367000102996826
1997,51,1186,186,174,0.7235000133514404
1998,51,1186,132,237,0.6680000424385071
1999,51,1186,151,210,0.6143999695777893
2000,51,1186,170,205,0.7328000068664551
1997,52,191,129,209,0.9805999994277954
1998,52,191,110,221,0.9763000011444092
1999,52,191,94,231,0.980400025844574
2000,52,191,78,259,0.9676999449729919
1997,53,446,582,165,0.8899999856948853
1998,53,446,523,179,0.9398999810218811
1999,53,446,483,200,0.9112000465393066
2000,53,446,450,206,0.8647000193595886
1997,54,732,2621,133,0.5135999917984009
1998,54,732,2683,144,0.4758000075817108
1999,54,732,2709,143,0.4852999746799469
2000,54,732,2644,189,0.47679999470710754
1997,55,432,280,190,0.9111000299453735
1998,55,432,521,112,0.6830999851226807
1999,55,432,584,119,0.6594000458717346
2000,55,432,642,116,0.6274999976158142
1997,56,1199,1154,168,0.4065999984741211
1998,56,1199,1059,254,0.40959998965263367
1999,56,1199,1158,215,0.403300017118454
2000,56,1199,1303,221,0.4913000166416168
1997,57,594,1252,120,0.5216000080108643
1998,57,594,1421,109,0.4787999987602234
1999,57,594,1549,115,0.47589999437332153
2000,57,594,1415,132,0.4909000098705292
1997,58,644,115,110,0.756600022315979
1998,58,644,188,102,0.8543000221252441
1999,58,644,174,110,0.8733999729156494
2000,58,644,184,124,0.8358999490737915
1997,59,581,1694,120,0.7829000353813171
1998,59,581,1644,114,0.7339000105857849
1999,59,581,1588,126,0.743399977684021
2000,59,581,1653,137,0.7172000408172607
1997,60,515,376,121,0.8080999851226807
1998,60,515,425,112,0.7250000238418579
1999,60,515,420,127,0.6823999881744385
2000,60,515,460,127,0.7254000306129456
1997,61,306,325,224,0.9147000312805176
1998,61,306,551,128,0.7516000270843506
1999,61,306,682,101,0.7130000591278076
2000,61,306,710,110,0.6650000214576721
1997,62,859,533,249,0.821399986743927
1998,62,859,874,129,0.7508999705314636
1999,62,859,918,131,0.8210999965667725
2000,62,859,759,197,0.8162000179290771
1997,63,692,1352,123,0.4810999929904938
1998,63,692,1441,126,0.4239000082015991
1999,63,692,1518,133,0.4878000020980835
2000,63,692,1554,151,0.4527999758720398
1997,64,432,442,206,0.8209999799728394
1998,64,432,491,199,0.8558000326156616
1999,64,432,456,214,0.8448999524116516
2000,64,432,434,235,0.8269000053405762
1997,65,341,198,237,0.9434999823570251
1998,65,341,194,234,0.961899995803833
1999,65,341,201,247,0.9702999591827393
2000,65,341,176,269,0.9567999839782715
1997,66,270,885,98,0.8512000441551208
1998,66,270,1027,93,0.7278000116348267
1999,66,270,1032,94,0.7642999887466431
2000,66,270,955,119,0.7077999711036682
1997,67,693,887,114,0.7466999888420105
1998,67,693,799,162,0.6780000329017639
1999,67,693,930,135,0.7504000067710876
2000,67,693,808,168,0.6366999745368958
1997,68,1747,721,181,0.6805999875068665
1998,68,1747,688,217,0.6765000224113464
1999,68,1747,715,237,0.5985000133514404
2000,68,1747,816,221,0.6751999855041504
1997,69,303,179,156,0.832099974155426
1998,69,303,133,204,0.9909999966621399
1999,69,303,121,232,0.9811000227928162
2000,69,303,127,232,0.9829000234603882
1997,70,453,216,184,0.8511000275611877
1998,70,453,219,189,0.9269999861717224
1999,70,453,201,221,0.9033000469207764
2000,70,453,207,226,0.8851999640464783
1997,71,1946,1520,257,0.6060000061988831
1998,71,1946,1441,279,0.649899959564209
1999,71,1946,1440,293,0.5579000115394592
2000,71,1946,1537,301,0.636900007724762
1997,72,321,445,152,0.895799994468689
1998,72,321,370,186,0.9771000146865845
1999,72,321,309,244,0.9613999724388123
2000,72,321,272,272,0.9508000016212463
1997,73,332,1142,88,0.6660000085830688
1998,73,332,1246,85,0.6129999756813049
1999,73,332,1173,97,0.6654000282287598
2000,73,332,1120,106,0.5881999731063843
1997,74,595,816,179,0.5795999765396118
1998,74,595,1513,109,0.530299961566925
1999,74,595,1566,121,0.5306000113487244
2000,74,595,1591,134,0.5759000182151794
1997,75,669,366,207,0.42800000309944153
1998,75,669,326,208,0.4777999818325043
1999,75,669,394,198,0.5425999760627747
2000,75,669,401,208,0.5351999998092651
1997,76,906,908,215,0.4829000234603882
1998,76,906,963,200,0.4993000030517578
1999,76,906,1068,200,0.4810999929904938
2000,76,906,1192,141,0.5460000038146973
1997,77,302,290,110,0.8119999766349792
1998,77,302,231,158,0.9826000332832336
1999,77,302,208,159,0.987500011920929
2000,77,302,176,165,0.9889000058174133
1997,78,214,357,249,0.9848000407218933
1998,78,214,349,241,0.9879000186920166
1999,78,214,312,253,0.9923000335693359
2000,78,214,303,274,0.9909999966621399
1997,79,425,922,103,0.8294000029563904
1998,79,425,1096,102,0.7791999578475952
1999,79,425,1076,110,0.7266000509262085
2000,79,425,998,131,0.6656000018119812
1997,80,756,5083,206,0.5529000163078308
1998,80,756,6172,162,0.5906999707221985
1999,80,756,6793,160,0.649899959564209
2000,80,756,6768,168,0.6226999759674072
1997,81,508,144,106,0.9155000448226929
1998,81,508,188,86,0.9480000138282776
1999,81,508,254,84,0.9524999856948853
2000,81,508,272,107,0.9599999785423279
1997,82,516,401,145,0.9129000306129456
1998,82,516,472,106,0.935699999332428
1999,82,516,535,100,0.914400041103363
2000,82,516,439,132,0.9142000079154968
1997,83,761,204,193,0.7332000136375427
1998,83,761,249,177,0.7851000428199768
1999,83,761,218,206,0.7587999701499939
2000,83,761,254,204,0.716200053691864
1997,84,822,185,222,0.6637000441551208
1998,84,822,229,214,0.7358999848365784
1999,84,822,206,224,0.7298000454902649
2000,84,822,205,232,0.7183000445365906
1997,85,1902,183,274,0.5968999862670898
1998,85,1902,216,265,0.6080999970436096
1999,85,1902,267,236,0.3934999704360962
2000,85,1902,221,286,0.5325000286102295
1997,86,403,1700,112,0.8198999762535095
1998,86,403,2011,113,0.7595999836921692
1999,86,403,1943,125,0.6748999953269958
2000,86,403,1982,133,0.6584999561309814
1997,87,665,2047,130,0.5741999745368958
1998,87,665,2129,125,0.5292999744415283
1999,87,665,2251,121,0.6098999977111816
2000,87,665,2318,129,0.5877000093460083
1997,88,1587,710,259,0.5658000111579895
1998,88,1587,674,275,0.6277000308036804
1999,88,1587,683,295,0.5809999704360962
2000,88,1587,716,284,0.6050999760627747
1997,89,526,527,216,0.5133000016212463
1998,89,526,580,214,0.527999997138977
1999,89,526,573,218,0.5437999963760376
2000,89,526,803,137,0.4657000005245209
1997,90,2173,327,272,0.6994999647140503
1998,90,2173,341,286,0.7024999856948853
1999,90,2173,311,310,0.6686000227928162
2000,90,2173,353,320,0.6794000267982483
1997,91,904,224,274,0.7932000160217285
1998,91,904,197,269,0.8137000203132629
1999,91,904,175,250,0.7757999897003174
2000,91,904,230,230,0.8342999815940857
1997,92,356,1091,144,0.6743000149726868
1998,92,356,1297,110,0.7017999887466431
1999,92,356,1441,103,0.6545999646186829
2000,92,356,1411,117,0.5526999831199646
1997,93,481,436,230,0.9460999965667725
1998,93,481,721,115,0.7580000162124634
1999,93,481,552,175,0.9027999639511108
2000,93,481,535,194,0.9426999688148499
1997,94,750,211,206,0.7855000495910645
1998,94,750,211,193,0.8280999660491943
1999,94,750,163,218,0.7651999592781067
2000,94,750,193,197,0.8061000108718872
1997,95,2094,190,272,0.6701000332832336
1998,95,2094,229,248,0.6542999744415283
1999,95,2094,218,285,0.5
2000,95,2094,244,305,0.5879999995231628
1997,96,1590,433,241,0.7585999965667725
1998,96,1590,487,240,0.70660001039505
1999,96,1590,467,252,0.6547000408172607
2000,96,1590,530,234,0.6295000314712524
1997,97,874,368,203,0.7195999622344971
1998,97,874,396,201,0.8134999871253967
1999,97,874,435,196,0.7563999891281128
2000,97,874,418,224,0.7298000454902649
1997,98,1892,440,268,0.6416999697685242
1998,98,1892,436,298,0.6790000200271606
1999,98,1892,485,296,0.5706000328063965
2000,98,1892,523,303,0.6481999754905701
1997,99,2139,1185,306,0.6348000168800354
1998,99,2139,1045,341,0.6769999861717224
1999,99,2139,1081,361,0.5979000329971313
2000,99,2139,1237,370,0.6384999752044678
1997,100,2117,265,344,0.6116999983787537
1998,100,2117,258,357,0.5688000321388245
1999,100,2117,291,366,0.5491999983787537
2000,100,2117,372,407,0.5760999917984009
1997,101,1920,276,359,0.6315000057220459
1998,101,1920,293,357,0.6377000212669373
1999,101,1920,284,358,0.588100016117096
2000,101,1920,341,347,0.5966999530792236
1997,102,215,351,90,0.8903999924659729
1998,102,215,439,87,0.6897000074386597
1999,102,215,478,79,0.741100013256073
2000,102,215,453,97,0.7487000226974487
1997,103,2183,578,272,0.5654000043869019
1998,103,2183,562,314,0.6669999957084656
1999,103,2183,532,318,0.5654000043869019
2000,103,2183,607,343,0.6029999852180481
1997,104,483,647,203,0.49810001254081726
1998,104,483,674,200,0.49619999527931213
1999,104,483,660,209,0.5131999850273132
2000,104,483,707,226,0.4936999976634979
1997,105,794,184,222,0.7597000002861023
1998,105,794,197,192,0.8032000064849854
1999,105,794,190,206,0.7494000196456909
2000,105,794,198,202,0.770799994468689
1997,106,406,1768,114,0.8073000311851501
1998,106,406,1894,113,0.7883999347686768
1999,106,406,1875,126,0.7404000163078308
2000,106,406,1769,135,0.6947000026702881
1997,107,674,213,202,0.7901999950408936
1998,107,674,239,187,0.7948000431060791
1999,107,674,213,194,0.7847000360488892
2000,107,674,188,233,0.7545999884605408
1997,108,264,135,103,0.5807999968528748
1998,108,264,195,80,0.7560999989509583
1999,108,264,225,95,0.7414000034332275
2000,108,264,217,112,0.6809999942779541
1997,109,540,2546,174,0.7384999990463257
1998,109,540,3175,145,0.7166999578475952
1999,109,540,3568,131,0.5152000188827515
2000,109,540,3195,185,0.560699999332428
1997,110,545,686,115,0.8504000306129456
1998,110,545,628,127,0.9737000465393066
1999,110,545,583,156,0.9758999347686768
2000,110,545,557,159,0.9694000482559204
1997,111,274,163,62,0.9384999871253967
1998,111,274,10,190,0.9456999897956848
1999,111,274,4,206,0.8888999819755554
2000,111,274,5,241,0.958299994468689
1997,112,406,168,56,0.9578999876976013
1998,112,406,118,67,0.9676999449729919
1999,112,406,80,84,0.9673000574111938
2000,112,406,3,252,1
1997,113,506,167,58,0.9778000116348267
1998,113,506,84,64,0.9794000387191772
1999,113,506,4,159,0.8181999921798706
2000,113,506,2,228,0.7058999538421631
1997,114,977,268,83,0.9846000075340271
1998,114,977,387,109,0.9919000267982483
1999,114,977,394,121,0.9948000311851501
2000,114,977,365,119,0.9934999942779541
1997,115,466,190,37,1
1998,115,466,66,83,0.9836000204086304
1999,115,466,123,86,1
2000,115,466,130,88,0.9983000159263611
1997,116,852,219,75,0.9642999768257141
1998,116,852,332,108,0.9846000075340271
1999,116,852,444,111,0.9908999800682068
2000,116,852,377,114,0.993399977684021
1997,117,1342,210,162,0.3057999908924103
1998,117,1342,224,175,0.3570999801158905
1999,117,1342,293,177,0.31780001521110535
2000,117,1342,436,183,0.5248000025749207
1997,118,1695,291,241,0.6258000135421753
1998,118,1695,264,240,0.5555999875068665
1999,118,1695,238,350,0.4872000217437744
2000,118,1695,252,378,0.36959999799728394
1997,119,972,520,180,0.6118999719619751
1998,119,972,557,191,0.6448000073432922
1999,119,972,604,207,0.5888000130653381
2000,119,972,645,246,0.5634000301361084
1997,120,183,1910,77,0.7116000652313232
1998,120,183,2077,76,0.5178999900817871
1999,120,183,2070,82,0.5950000286102295
2000,120,183,2035,95,0.7783999443054199
1997,121,769,269,203,0.4838000237941742
1998,121,769,289,243,0.5561000108718872
1999,121,769,309,265,0.5103999972343445
2000,121,769,413,266,0.5771999955177307
1997,122,525,373,109,0.9294999837875366
1998,122,525,348,121,0.9541000127792358
1999,122,525,382,116,0.8991000652313232
2000,122,525,353,125,0.9413999915122986
1997,123,280,200,65,0.9456999897956848
1998,123,280,197,71,0.984499990940094
1999,123,280,198,67,0.9730000495910645
2000,123,280,208,74,0.9854000210762024
1997,124,152,975,76,0.7569999694824219
1998,124,152,910,80,0.7658999562263489
1999,124,152,921,78,0.7158999443054199
2000,124,152,963,83,0.7067999839782715
1997,125,1085,505,112,0.61080002784729
1998,125,1085,433,134,0.6723000407218933
1999,125,1085,498,136,0.7268000245094299
2000,125,1085,484,150,0.7151000499725342
1997,126,1238,344,180,0.4090999960899353
1998,126,1238,396,182,0.5777000188827515
1999,126,1238,520,169,0.48900002241134644
2000,126,1238,506,197,0.4447999894618988
1997,127,335,292,81,0.9533999562263489
1998,127,335,284,89,0.9567999839782715
1999,127,335,284,90,0.9574999809265137
2000,127,335,290,95,0.9516000151634216
1997,128,290,198,79,0.9719000458717346
1998,128,290,155,86,0.9712000489234924
1999,128,290,179,86,0.9701999425888062
2000,128,290,163,90,0.9819999933242798
1997,129,754,201,109,0.7099999785423279
1998,129,754,208,120,0.7648000121116638
1999,129,754,251,121,0.7405000329017639
2000,129,754,257,141,0.7776000499725342
1997,130,446,188,116,0.5442000031471252
1998,130,446,191,129,0.6266999840736389
1999,130,446,212,128,0.6275999546051025
2000,130,446,215,141,0.6773000359535217
1997,131,1509,554,267,0.4572000205516815
1998,131,1509,530,283,0.40389999747276306
1999,131,1509,619,346,0.429500013589859
2000,131,1509,679,373,0.4375
1997,132,996,230,146,0.42640000581741333
1998,132,996,236,152,0.39590001106262207
1999,132,996,270,159,0.35099998116493225
2000,132,996,285,171,0.41439998149871826
1997,133,868,552,134,0.5040000081062317
1998,133,868,459,136,0.5141000151634216
1999,133,868,568,138,0.46650001406669617
2000,133,868,580,147,0.5145000219345093
1997,134,1163,221,150,0.28630000352859497
1998,134,1163,235,157,0.3313000202178955
1999,134,1163,240,166,0.3321000039577484
2000,134,1163,305,179,0.5127999782562256
1997,135,1501,255,207,0.3659000098705292
1998,135,1501,239,208,0.40549999475479126
1999,135,1501,297,226,0.3718999922275543
2000,135,1501,346,238,0.3977999985218048
1997,136,1471,477,238,0.8068000078201294
1998,136,1471,513,210,0.8783000111579895
1999,136,1471,567,244,0.7942000031471252
2000,136,1471,684,278,0.8037000298500061
1997,137,1764,171,198,0.34200000762939453
1998,137,1764,197,188,0.3302000164985657
1999,137,1764,212,199,0.2572999894618988
2000,137,1764,246,219,0.24450001120567322
1997,138,718,211,159,0.5688000321388245
1998,138,718,189,164,0.578000009059906
1999,138,718,210,176,0.4597000181674957
2000,138,718,217,191,0.4681999981403351
1997,139,1308,340,227,0.5274999737739563
1998,139,1308,352,211,0.4252000153064728
1999,139,1308,336,291,0.3615000247955322
2000,139,1308,305,347,0.30550000071525574
1997,140,682,391,100,0.696399986743927
1998,140,682,417,97,0.7811000347137451
1999,140,682,460,103,0.7847000360488892
2000,140,682,481,112,0.8059999942779541
1997,141,370,854,131,0.9524999856948853
1998,141,370,703,142,0.9646999835968018
1999,141,370,708,142,0.9630000591278076
2000,141,370,697,150,0.9626999497413635
1997,142,360,240,248,0.9405999779701233
1998,142,360,276,241,0.9350000023841858
1999,142,360,275,237,0.9502999782562256
2000,142,360,264,258,0.917900025844574
1997,143,611,2634,101,0.40130001306533813
1998,143,611,2698,103,0.40450000762939453
1999,143,611,2706,106,0.3684000074863434
2000,143,611,2613,120,0.3691999912261963
1997,144,430,142,256,0.8827999830245972
1998,144,430,174,226,0.8011000156402588
1999,144,430,153,257,0.8216999769210815
2000,144,430,192,225,0.6987000107765198
1997,145,314,1144,72,0.5087000131607056
1998,145,314,1071,67,0.3895999789237976
1999,145,314,1355,61,0.3931000232696533
2000,145,314,1333,68,0.3934999704360962
1997,146,337,112,146,0.5067999958992004
1998,146,337,116,173,0.460999995470047
1999,146,337,93,134,0.4052000045776367
2000,146,337,53,183,0.39180001616477966
1997,147,1217,499,269,0.6944999694824219
1998,147,1217,482,278,0.7216000556945801
1999,147,1217,504,267,0.6556999683380127
2000,147,1217,554,320,0.6118000149726868
1997,148,1491,351,245,0.6877999901771545
1998,148,1491,590,229,0.6862000226974487
1999,148,1491,703,236,0.6464999914169312
2000,148,1491,587,254,0.574999988079071
1997,149,408,757,102,0.9287999868392944
1998,149,408,1134,96,0.6290000081062317
1999,149,408,928,113,0.7623999714851379
2000,149,408,811,152,0.8364999890327454
1997,150,925,911,118,0.49330002069473267
1998,150,925,976,120,0.5446000099182129
1999,150,925,1070,116,0.5425999760627747
2000,150,925,1116,124,0.5425000190734863
1997,151,921,123,145,0.5383000373840332
1998,151,921,120,147,0.6363999843597412
1999,151,921,102,158,0.5283000469207764
2000,151,921,218,140,0.7364000082015991
1997,152,283,248,149,0.9711000323295593
1998,152,283,238,147,0.9740000367164612
1999,152,283,703,72,0.7045999765396118
2000,152,283,1202,62,0.7041000127792358
1997,153,1235,868,175,0.6000000238418579
1998,153,1235,751,181,0.5625
1999,153,1235,873,182,0.5532000064849854
2000,153,1235,939,198,0.5268999934196472
1997,154,516,330,134,0.7225000262260437
1998,154,516,192,136,0.5090000033378601
1999,154,516,228,142,0.43540000915527344
2000,154,516,463,106,0.6775000095367432
1997,155,663,432,110,0.5013999938964844
1998,155,663,521,103,0.5368000268936157
1999,155,663,623,99,0.5182999968528748
2000,155,663,646,103,0.5490000247955322
1997,156,967,451,133,0.3815999925136566
1998,156,967,538,132,0.6154999732971191
1999,156,967,499,140,0.6815000176429749
2000,156,967,477,153,0.6967999935150146
1997,157,2107,548,158,0.2721000015735626
1998,157,2107,651,167,0.4431000053882599
1999,157,2107,1068,152,0.47669997811317444
2000,157,2107,990,159,0.49729999899864197
1997,158,2330,976,240,0.49380001425743103
1998,158,2330,1068,223,0.45089998841285706
1999,158,2330,1409,215,0.34759998321533203
2000,158,2330,1440,218,0.4163999855518341
1997,159,495,598,70,0.8423000574111938
1998,159,495,637,76,0.8860999941825867
1999,159,495,684,74,0.8458000421524048
2000,159,495,684,77,0.8770999908447266
1997,160,946,238,174,0.6395999789237976
1998,160,946,430,139,0.6990000009536743
1999,160,946,396,134,0.6966000199317932
2000,160,946,411,142,0.6784999966621399
1997,161,936,256,288,0.8084999918937683
1998,161,936,314,277,0.8173999786376953
1999,161,936,271,293,0.8141000270843506
2000,161,936,300,278,0.7626999616622925
1997,162,587,723,84,0.854200005531311
1998,162,587,823,85,0.8903999924659729
1999,162,587,847,89,0.8698000311851501
2000,162,587,1014,94,0.8925999999046326
1997,163,998,462,129,0.4812999963760376
1998,163,998,465,124,0.49160000681877136
1999,163,998,577,120,0.5327000021934509
2000,163,998,649,131,0.5231999754905701
1997,164,182,507,149,0.5684999823570251
1998,164,182,467,146,0.5702999830245972
1999,164,182,470,152,0.5683000087738037
2000,164,182,369,178,0.6078000068664551
1997,165,1183,185,156,0.27799999713897705
1998,165,1183,187,160,0.26759999990463257
1999,165,1183,213,154,0.31360000371932983
2000,165,1183,211,168,0.3052000105381012
1997,166,1028,121,132,0.26680001616477966
1998,166,1028,124,141,0.31290000677108765
1999,166,1028,138,142,0.2679000198841095
2000,166,1028,128,148,0.2549000084400177
1997,167,2288,157,194,0.25360000133514404
1998,167,2288,125,208,0.21950000524520874
1999,167,2288,211,184,0.22709998488426208
2000,167,2288,235,184,0.27570000290870667
1997,168,787,1273,110,0.5367000102996826
1998,168,787,1356,104,0.6573000550270081
1999,168,787,1551,104,0.5839999914169312
2000,168,787,1643,114,0.6172999739646912
1997,169,1999,765,162,0.23120000958442688
1998,169,1999,835,173,0.41349998116493225
1999,169,1999,1059,164,0.42900002002716064
2000,169,1999,1108,171,0.4408999979496002
1997,170,2362,206,218,0.34139999747276306
1998,170,2362,237,228,0.2969000041484833
1999,170,2362,333,191,0.2963999807834625
2000,170,2362,347,190,0.20589999854564667
1997,171,328,1557,55,0.7223999500274658
1998,171,328,1864,58,0.6481999754905701
1999,171,328,1998,60,0.6951000094413757
2000,171,328,2165,65,0.6843000054359436
1997,172,1866,316,165,0.26109999418258667
1998,172,1866,275,179,0.2734000086784363
1999,172,1866,342,161,0.3027999997138977
